Model;Name;MAC;Session (UTC);Role;Round;Timestamp;Freq (Hz);Box Temp (℃);Sequence #
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:15.708658;2.65;23.13;1128
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:16.731814;2.66;23.15;1129
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:17.756335;2.65;23.13;1130
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:18.678440;2.65;23.17;1131
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:19.701267;2.65;23.13;1132
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:20.725103;2.65;23.15;1133
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:21.753283;2.65;23.13;1134
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:22.776162;2.65;23.15;1135
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:23.798324;2.66;23.15;1136
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:24.822495;2.65;23.15;1137
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:25.744763;2.65;23.15;1138
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:26.767945;2.65;23.17;1139
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:28.816179;2.65;23.15;1141
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:29.840721;2.66;23.15;1142
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:30.863198;2.66;23.15;1143
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:31.889951;2.65;23.17;1144
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:32.809759;2.65;23.17;1145
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:33.837621;2.66;23.17;1146
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:34.858715;2.66;23.15;1147
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:35.881274;2.67;23.17;1148
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:36.906363;2.66;23.17;1149
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:37.928500;2.65;23.19;1150
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:38.954169;2.65;23.19;1151
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:39.978927;2.65;23.17;1152
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:40.898776;2.66;23.17;1153
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:41.922679;2.66;23.19;1154
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:42.946740;2.65;23.19;1155
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:43.970900;2.66;23.17;1156
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:44.994979;2.66;23.15;1157
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:46.018498;2.65;23.15;1158
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:47.042920;2.65;23.15;1159
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:47.964122;2.65;23.17;1160
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:48.988411;2.65;23.17;1161
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:50.015422;2.65;23.15;1162
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:51.038138;2.66;23.15;1163
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:52.062654;2.66;23.13;1164
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:53.085706;2.65;23.17;1165
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:54.109375;2.66;23.19;1166
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:56.054128;2.64;23.15;1168
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:57.078061;2.65;23.23;1169
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:58.102748;2.66;23.15;1170
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:59.125414;2.66;23.17;1171
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:00.150357;2.65;23.21;1172
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:01.175347;2.64;23.19;1173
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:02.198899;2.65;23.17;1174
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:03.119423;2.66;23.19;1175
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:04.144039;2.65;23.17;1176
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:05.167563;2.65;23.17;1177
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:09.598229;2.65;23.19;1178
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:10.621402;2.65;23.19;1179
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:11.645171;2.65;23.15;1180
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:12.668793;2.69;23.19;1181
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:13.693193;2.69;23.19;1182
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:14.614952;2.66;23.21;1183
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:16.662861;2.66;23.19;1185
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:17.686905;2.65;23.19;1186
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:18.710533;2.65;23.17;1187
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:19.632899;2.66;23.17;1188
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:20.758762;2.65;23.17;1189
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:21.782739;2.65;23.19;1190
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:22.584178;2.933;24.85;190
